DOC_CONTABLE_;TEXTO_BREVE;SALDO_INICIAL;MOVIMIENTOS_CREDITO;SALDO_ACUMULADO;;
222505;DE MONEDAS (PESO/DÓLAR);0;4,05E+11;0;;
2225050001;INV: FORWARD DERECHO;0;1,93E+11;0;;
2225050002;INV: FORWARD OBLIGAC;0;2,12E+11;0;;
25;CUENTAS POR PAGAR;-24791440253;9,00E+12;-40310835608;;
2501;COMISIONES Y HONORARIOS;-590156768,2;2012282038;-552164924,4;;
250105;HONORARIOS;-590156768,2;2012282038;-552164924,4;;
2501050102;CXP: CXPP-HONORA;-590156768,2;2012282038;-552164924,4;;
2502;COSTOS Y GASTOS POR PAGAR;-9289469,27;1424569901;-970000;;
250215;MANTENIMIENTO Y REPARACIONES;-9289469,27;266863905,1;-970000;;
2502150122;CXP: CXPP-MANTEN;-9289469,27;266863905,1;-970000;;
250295;OTROS;0;1157705996;0;;
2502950103;CXP: FEMAP FONDO DE;0;904789866;0;;
2502950109;;0;3843759;0;;
2502950111;CXP: PRESTAMOS CAJA;0;19597023;0;;
2502950118;CXP: MEDICINA PREPAG;0;229475348;0;;
2503;IMPUESTOS;-1307287804;25256643785;-1684617383;;
250310;INDUSTRIA Y COMERCIO;-735464917,5;4901019966;-1095539594;;
2503100001;IMP: INDUSTRIA Y COM;-735464917,5;4901019966;-1095539594;;
250335;A LAS VENTAS RETENIDO;-571822886,5;20355623819;-589077789,2;;
2503350001;IMP: IVA-PRIMAS POR;-744138998;5439599888;-603745621;;
2503350005;IMP: IVA-GASTOS GENE;63558314,41;669744060,2;33454475,57;;
2503350006;IMP: IVA-GASTOS ADMO;198;137043;0;;
2503350007;IMP: IVA FEE ADMIN;-0,02;0;-0,02;;
2503350012;IMP: IVA-SERVICIOS;540358221,5;2226326188;494720034,9;;
2503350014;IMP: IVA-TRANSITORIO;18585678,63;123294832,8;12018251,59;;
2503350015;IMP: IVA-OTROS CONCE;33069113,34;39308762;-1,16;;
2503350019;IMP: IVA-DESCONTABLE;632001229;3162018685;468076912;;
2503350024;IMP: IVA-ARRENDAMIEN;414039,81;2632360;0,11;;
2503350027;IMP: IVA-IMPUESTO VE;0;3682110;0,11;;
2503350028;IMP: CUENTA PUENTE P;37942052,07;3760723813;36486596,62;;
2503350030;IMP: IVA-DESCONTABL;-1153612735;4928156076;-1030088438;;
2511;PROVEEDORES Y SERVICIOS POR PAGAR;-2598089468;1,29E+11;-2426556252;;
251105;PROVEEDORES;-2568189468;1,29E+11;-2396656252;;
2511050001;PASP: PROVEEDORES $$;-332985077,7;89797785432;-756628298,7;;
2511050002;PASP: PROVEEDORES US;-967718;6465748,1;-1097342,9;;
2511050003;PASP: ANTICIPOS POLI;101114109,1;2917852702;60679296,07;;
2511050005;PASP: PROVEEDORES -;-229504271,8;6406424955;-105980365,4;;
2511050100;PASP: CUENTAS POR PA;-1090314290;25738894971;-544872347,8;;
2511050107;PASP: CXPP-GASTO;-228701499,9;625567182,8;-9980000,59;;
2511050108;PASP: CXPP-GASTO;-777225466,1;3711849484;-1053744803;;
2511050112;PASP: CXPP-PAPEL;0;403436;-403436;;
2511050113;;0;6500;0;;
2511050116;PASP: GASTOS TARJETA;-8278889;13120061;-8318750;;
2511050120;PASP: GASTOS TARJETA;14673635,4;7578009,88;23689795,67;;
2511050123;PASP: CXPP-GASTO;-16000000;58738720,32;0;;
251110;SERVICIOS;-29900000;0;-29900000;;
2511100114;PASP: PROV-SERVICIOS;-29900000;0;-29900000;;
2514;CONTRIBUCIONES, AFILIACIONES Y TRANSFERENCIAS;-410703,92;4370399753;-326028,19;;
251426;FONDO DE RIESGOS LABORALES;-410703,92;4370399753;-326028,19;;
2514260001;PASO: FONDO DE RIESG;-410703,92;4370399753;-326028,19;;
2519;RETENCIONES Y APORTES LABORALES;-1520037337;46090583541;-3758239445;;
251905;RETENCIONES EN LA FUENTE;-1295060003;23895900659;-2464705784;;
2519050001;RFTE: RETENCION COMI;-292924287;1880008828;-159906400;;
2519050002;RFTE: RETENCION HONO;-1228010,07;43104985,57;-3136755,64;;
2519050003;RFTE: RETENCION REND;-20119241;171879955;-68791672;;
2519050005;RFTE: RETENCION SERV;-28402923,1;257356807,3;-23699441,79;;
2519050006;RFTE: RETENCION COMP;-2135274,15;31009519,24;-2337667,39;;
2519050007;RFTE: RETENCION SALA;-53505818;665161237;-7589511;;
2519050015;RFTE: RETENCION ARRE;-1168796;36351720,57;-3326442,3;;
2519050020;RFTE: RETENCION CONT;-673397,44;260848;-0,44;;
2519050024;RFTE: RETENCION IVA;-110097319;857182842,5;-63144441,2;;
2519050025;RFTE: RETENCION ICA;-39084088,62;1263104551;-30598267,62;;
2519050026;RFTE: CUENTA PUENTE;0;10370953763;0;;
2519050028;RFTE: RETENCION CREE;-259773000;2751624000;-1597726000;;
2519050029;RFTE: AUTORETENCION;-235085876,2;3591442262;-345484078,6;;
2519050032;RFTE: RETENCION TERC;-33197811,63;358443209,9;-21025248,01;;
2519050033;RFTE: RETENCION COMI;-5639929,9;29009392,8;-1089215,7;;
2519050034;RFTE: RETENCION HONO;-96448029,14;514562310,3;-76167108,09;;
2519050038;RFTE: RETENCION IVA;-103662858,6;942615276,6;-70008523,46;;
2519050039;RFTE: RETENCION ICA;-11520132,06;106841886;7015421,22;;
2519050060;RFTE: RETENCION PRIM;-14556;3699949;0;;
2519050507;RFTE: RETENCION SERV;-0,23;21287314,29;2309568,06;;
2519053401;RFTE: RETENCION LICE;-378655,06;0;-0,06;;
251910;JUDICIALES;-308861;11924768;0;;
2519100109;PASO: EMBARGOS JUDIC;-308861;11924768;0;;
251930;COLPENSIONES;-141511655,2;20777849633;-1196866741;;
2519300001;PASO: APORTE A SALUD;-22479300;298468220;-19632300;;
2519300002;PASO: APORTES SURATE;-5105700;24971300;-1798300;;
2519300003;PASO: EPS RAMOS DE R;-113926655,2;20454410113;-1175436141;;
251935;CAJA COMPENSACIÓN FAMILIAR, ICBF Y SENA;-22414700;302085816;-14211300;;
2519350001;PASO: CAJA COMPENSAC;-22414700;302085816;-14211300;;
251940;FONDOS DE PENSIONES;-60742118;765758204;-75456530;;
2519400001;PASO: APORTES FONDOS;-49039000;732767700;-58636000;;
2519400002;PASO: APORTES VOLUNT;-8480418;4755680;-8480418;;
2519400003;PASO: APORTES AFC;-3222700;28234824;-8340112;;
251945;RETENCIONES Y APORTES DE NOMINA;0;337064461;-6999090;;
2519450118;PASO: MEDICINA PREPA;0;337064461;-6999090;;
2543;COASEGURADORES CUENTA CORRIENTE ACEPTADOS;-778986691;41345202853;-4734111294;;
254300;COASEGURADORES CUENTA CORRIENTE ACEPTADOS;-778986691;41345202853;-4734111294;;
2543000001;CXPA: COASEG CTA CTE;-778986691;41345202853;-4734111294;;
2544;COASEGURADORES CUENTA CORRIENTE CEDIDOS;0;110625769;-269280;;
254400;COASEGURADORES CUENTA CORRIENTE CEDIDOS;0;110625769;-269280;;
2544000001;CXPA: COASEG CTA CTE;35512387;110390500;35262556;;
2544000007;CXPA: COMISIONES CAU;-35512387;235269;-35531836;;
2551;REASEGURADORES EXTERIOR CUENTA CORRIENTE;-4238494168;7,21E+12;-4961163846;;
255100;REASEGURADORES EXTERIOR CUENTA CORRIENTE;-4238494168;7,21E+12;-4961163846;;
2551000101;CXPA: CTA CTE AUT EX;31205992,23;3,37E+12;70772699800;;
2551000102;CXPA: CTA CTE AUT EX;0;7377384;-526956;;
2551000103;CXPA: PAGOS (PUENTE);336589053,1;2,99E+11;-27333220778;;
2551000104;CXPA: PAGOS (PUENTE);-737988907,1;1,68E+11;-5428066515;;
2551000105;CXPA: CTA CTE FAC EX;-3868300305;1,49E+12;-22474969412;;
2551000106;CXPA: CTA CTE FAC EX;0;1,20E+12;-12468294605;;
2551000109;CXPA: COSTOS XL - DI;-1,1;6,69E+11;-1395157379;;
2551000111;CXPA: CTA CTE REASEG;0;17723948239;-6633628000;;
2552;SINIESTROS LIQUIDADOS POR PAGAR;-8041981405;1,42E+12;-13261002577;;
255200;SINIESTROS LIQUIDADOS POR PAGAR;-8041981405;1,42E+12;-13261002577;;
2552000001;CXPA: SINIESTROS LIQ;-3486674844;6,31E+11;-5755231676;;
2552000002;CXPA: STROS X PAGAR;5147233;626445329;2488786;;
2552000005;CXPA: STROS X PAGAR;882960;45426300;882960;;
2552000008;CXPA: STROS X PAGAR;-5118969659;1,40E+11;-8042473804;;
2552000009;CXPA: STROS X PAGAR;557632905;5311982154;533331158;;
2552000011;CXPA: PUENTE STROS X;0;6,34E+11;0;;
2552000012;CXPA: PUENTE STROS X;0;623786882;0;;
2552000013;CXPA: PUENTE STROS X;0;5847639938;0;;
2552000015;CXPA: PUENTE INGRESO;0;2767751485;0;;
2554;OBLIGACIONES A FAVOR DE INTERMEDIARIOS;-286171491,9;46035430480;-596055260,6;;
255405;COMISIONES;-259594385,7;45812860904;-562408550,4;;
2554050011;COMISION INTERM $$$;4,16E+11;28302341193;4,31E+11;;
